nb_drones: 5

# ── HUBS ──
start_hub: hub_21509749 51124 544073 [color=green max_drones=5]
hub: node_265590631 51126 544074 [zone=normal color=blue max_drones=5]
hub: node_265612277 51122 544071 [zone=normal color=blue max_drones=5]
hub: node_30700906 51102 544077 [zone=normal color=blue max_drones=2]
hub: node_21509851 51614 544410 [zone=normal color=blue max_drones=10]
hub: node_1558436882 51599 544398 [zone=normal color=blue max_drones=10]
hub: node_21509865 51120 544049 [zone=normal color=blue max_drones=2]
hub: node_3845746007 51116 544053 [zone=normal color=blue max_drones=5]
hub: node_21509874 51450 544264 [zone=normal color=blue max_drones=10]
hub: node_94655057 51443 544209 [zone=normal color=blue max_drones=10]
hub: node_21509893 51616 544426 [zone=normal color=blue max_drones=10]
hub: node_683971004 51617 544425 [zone=normal color=blue max_drones=10]
hub: node_622113332 51616 544417 [zone=normal color=blue max_drones=10]
hub: node_445401179 51615 544427 [zone=normal color=blue max_drones=2]
hub: node_21509915 51473 544438 [zone=normal color=blue max_drones=10]
hub: node_21777104 51465 544440 [zone=normal color=blue max_drones=10]
hub: node_3834511299 51513 544430 [zone=normal color=blue max_drones=10]
hub: node_21509927 51633 544475 [zone=normal color=blue max_drones=10]
hub: node_432825468 51634 544475 [zone=normal color=blue max_drones=10]
hub: node_21730296 51623 544478 [zone=normal color=blue max_drones=2]
hub: node_535213858 51628 544458 [zone=normal color=blue max_drones=10]
hub: node_21510905 50839 544761 [zone=normal color=blue max_drones=10]
hub: node_367972677 50831 544766 [zone=normal color=blue max_drones=10]
hub: node_29817431 50856 544754 [zone=normal color=blue max_drones=10]
hub: node_21510966 50842 544751 [zone=normal color=blue max_drones=2]
hub: node_21510932 50801 544804 [zone=normal color=blue max_drones=10]
hub: node_421781705 50800 544806 [zone=normal color=blue max_drones=10]
hub: node_423009859 50818 544794 [zone=normal color=blue max_drones=2]
hub: node_9418829524 50794 544790 [zone=normal color=blue max_drones=10]
hub: node_21510949 50843 544749 [zone=normal color=blue max_drones=2]
hub: node_310114264 50843 544745 [zone=normal color=blue max_drones=2]
hub: node_423007921 50833 544749 [zone=normal color=blue max_drones=2]
hub: node_421781711 50853 544744 [zone=normal color=blue max_drones=2]
hub: node_21511027 50831 544728 [zone=normal color=blue max_drones=2]
hub: node_11526394914 50833 544729 [zone=normal color=blue max_drones=2]
hub: node_21722810 51592 544660 [zone=normal color=blue max_drones=5]
hub: node_1607806336 51593 544650 [zone=normal color=blue max_drones=5]
hub: node_357444270 51529 544660 [zone=normal color=blue max_drones=2]
hub: node_313574360 51587 544717 [zone=normal color=blue max_drones=5]
hub: node_21722828 51525 544628 [zone=normal color=blue max_drones=5]
hub: node_770692806 51524 544626 [zone=normal color=blue max_drones=5]
hub: node_770692763 51530 544631 [zone=normal color=blue max_drones=10]
hub: node_522244855 51527 544630 [zone=normal color=blue max_drones=10]
hub: node_21722860 51509 544497 [zone=normal color=blue max_drones=5]
hub: node_1556734092 51503 544454 [zone=normal color=blue max_drones=5]
hub: node_1524393195 51515 544531 [zone=normal color=blue max_drones=5]
hub: node_868356327 51512 544496 [zone=normal color=blue max_drones=2]
hub: node_21722881 51482 544314 [zone=normal color=blue max_drones=5]
hub: node_2289516979 51488 544289 [zone=normal color=blue max_drones=5]
hub: node_21730383 51495 544316 [zone=normal color=blue max_drones=2]
hub: node_21722939 51412 544130 [zone=normal color=blue max_drones=10]
hub: node_1855476510 51411 544130 [zone=normal color=blue max_drones=10]
hub: node_21722952 51409 544144 [zone=normal color=blue max_drones=10]
hub: node_1855476520 51407 544145 [zone=normal color=blue max_drones=10]
hub: node_21725812 51438 544133 [zone=normal color=blue max_drones=10]
hub: node_1558545590 51411 544150 [zone=normal color=blue max_drones=2]
hub: node_21725720 51553 544228 [zone=normal color=blue max_drones=2]
hub: node_1305814642 51563 544224 [zone=normal color=blue max_drones=2]
hub: node_30040057 51538 544234 [zone=normal color=blue max_drones=2]
hub: node_24950703 51545 544202 [zone=normal color=blue max_drones=2]
